회의ID,회의일자,회의명,유형,주관,참석자,안건수,결정건수,미결건수,최장미결일수,연관WBS_ID,연관산출물ID,파생액션아이템,핵심 결정사항,핵심 미결사항,회의록 파일
기준일 2026-10-08 스냅샷,,,,,,,,,,,,,,,
MT-2026-021,2026-07-17,착수보고 및 수행계획 확정,운영위,미르,"운영위원 6인, PM, PMO, 전체 PL",5,5,0,0,2;3,DS-001;DS-002,,수행계획서·WBS 기준선 승인 · 주간 진척회의 매주 수요일 확정,-,./minutes/MT-2026-021.md
MT-2026-022,2026-07-29,제4주차 정기 진척회의,정기주간,나루,"전체 PL 5인, PMO",4,4,0,0,3.1,DS-003,AI-041,AS-IS 실태조사 대상 점포 71개점 확정,-,./minutes/MT-2026-022.md
MT-2026-023,2026-08-12,제6주차 정기 진척회의,정기주간,나루,"전체 PL 5인, PMO",5,4,1,0,3.1;3.2,DS-003,AI-045,AS-IS 분석 결과 공유 · 현행 근무유형 47종 확인,부문 표준 코드 매핑 기준 (결정필요일 2026-08-21 / 결정권자: 고객 점포운영팀),./minutes/MT-2026-023.md
MT-2026-024,2026-08-21,요구사항 정의 중간 검토,고객협의,도담,"도담, 나루, 고객 인사팀 3인",6,5,1,0,3.2.1,DS-005,AI-048,근무유형 표준 14종 요건 확정 · 가산 산정 원칙 합의,부문 표준 코드 매핑 기준 이월 (결정필요일 2026-08-21 / 결정권자: 고객 점포운영팀),./minutes/MT-2026-024.md
MT-2026-025,2026-08-26,제8주차 정기 진척회의,정기주간,나루,"전체 PL 5인, PMO",5,5,0,0,3.2;3.3,DS-005;DS-008,AI-051,기능 요구사항 정의서 검토 완료 · 부문 매핑 기준 확정,-,./minutes/MT-2026-025.md
MT-2026-026,2026-09-02,제9주차 정기 진척회의,정기주간,나루,"전체 PL 5인, PMO",6,5,1,0,4.1;4.2.1,DS-009;DS-010,AI-054,아키텍처 정의서 초안 검토,편성 기준정보 수집 방식 (결정필요일 2026-09-11 / 결정권자: 고객 점포운영팀),./minutes/MT-2026-026.md
MT-2026-027,2026-09-09,제10주차 정기 진척회의,정기주간,나루,"전체 PL 5인, PMO",6,4,2,0,4.1;4.6.1,DS-009;DS-016,AI-057,공통 화면 표준 배포 · 기준정보 수집 템플릿 확정,편성 기준정보 회신 기한 (결정필요일 2026-09-11 / 결정권자: 고객 점포운영팀),./minutes/MT-2026-027.md
MT-2026-028,2026-09-11,설계 착수 리뷰,설계리뷰,두루,"두루, 여울, 너울, 새벽, 고객 인사팀 2인",7,5,2,0,4.2;4.3;4.6,DS-010;DS-013,AI-061;AI-063,설계 표준·산출물 목록 확정 · 파일럿 3개점 선정,특이근태 예외 케이스 도출 범위 (결정필요일 2026-09-18 / 결정권자: 고객 인사팀),./minutes/MT-2026-028.md
MT-2026-029,2026-09-15,편성 기준정보 수집 현황 점검,고객협의,새벽,"새벽, 너울, 고객 점포운영팀 3인",4,2,2,9,4.6.1;4.6.2,DS-016,AI-069;AI-088,수집 템플릿 확정 · 대표 패턴만 입력 후 배수 규칙 자동 확장 합의,미회신 27개점 필요인원 기준 확정 (결정필요일 2026-09-29 / 결정권자: 고객 점포운영팀),./minutes/MT-2026-029.md
MT-2026-030,2026-09-11,근로시간 준수 요건 확인 고객협의,고객협의,도담,"도담, 나루, 고객 인사팀 2인",4,2,1,14,3.2.2,DS-006,AI-065,휴게시간 자동 분할 기록 원칙 확정,탄력근로제 단위기간 3개월/6개월 (결정필요일 2026-09-18 / 결정권자: 고객 인사팀장),./minutes/MT-2026-030.md
MT-2026-031,2026-09-16,특이근태 예외 처리 방침 1차 협의,의사결정,나루,"고객 인사팀 3인, 점포운영팀 2인, PM, 두루",6,3,2,14,4.3.2;4.6.3;5.1.4,DS-014;DS-015,AI-072;AI-078,D-01 근무 도메인 모델 확정 · D-02 편성 근거 3종 제공 의무화 · D-03 형평성 가중치 0.12→0.30 상향(최상위) · 예외 9종 처리 방침 확정,특이근태 예외 23종 중 미결 14종 처리 방침 확정 (결정필요일 2026-09-18 / 결정권자: 고객 인사팀),./minutes/MT-2026-031.md
MT-2026-032,2026-09-18,제3차 운영위원회,운영위,미르,"운영위원 6인, PM, PMO",6,5,1,14,4.2.3;5.2.3,DS-011,AI-085,CR-2026-007(휴게시간 자동분할) 승인 · 영향공수 +12MD,재기준선(안) 승인 (결정필요일 2026-10-08 / 결정권자: 운영위),./minutes/MT-2026-032.md
MT-2026-033,2026-09-29,제12주차 정기 진척회의,정기주간,나루,"전체 PL 5인, PMO",7,4,3,9,4.2.3;4.3.2;5.1.4,,AI-076,결재선 매트릭스 초안 검토,특이근태 예외 처리 방침 2회차 이월 (결정필요일 2026-10-01 / 결정권자: 고객 인사팀),./minutes/MT-2026-033.md
MT-2026-034,2026-10-01,급여 연계 설계서 1차 검토,설계리뷰,너울,"너울, 도담, 고객 급여담당 2인",4,1,2,7,4.5.2;6.2,DS-021,AI-076,1차 반려 · 검토의견 23건(수당 산정 규칙 17건) 조치 후 재상정,단시간 초과근로 동의 절차 (결정필요일 2026-10-06 / 결정권자: 고객 인사팀),./minutes/MT-2026-034.md
